step,total_loss,bc_loss,q_loss,policy_loss,diffusion_loss,vae_loss
140000,17635.7617,0.8222,6085.3433,-16774.5312,0.5268,1.9279
118000,70035.7344,1.9165,18009.5508,-6316.208,0.1328,2581.0822
141000,1299.1777,0.8592,2047.6357,-17239.3047,0.5287,1.9575
119000,98652.2109,1.931,25176.9199,-6479.6465,0.1311,2642.6873
142000,-3745.6377,0.8524,734.0379,-16715.2656,0.5168,1.9543
120000,70269.9453,1.9272,18095.0195,-6665.6743,0.1419,2741.4508
121000,84626.0547,1.9115,21698.832,-6804.3428,0.1189,2723.4898
143000,-478.7747,0.8312,1650.3164,-17710.627,0.5039,1.911
122000,973376.3125,1.9986,243875.125,-6765.3008,0.9156,2865.234
144000,74961.2734,0.8931,20400.1445,-16609.4688,0.5269,1.9338
123000,95996.7422,1.9326,24560.0996,-7079.7124,0.1232,2901.8543
145000,24758.5977,0.8195,8005.3418,-18167.3633,0.5142,1.9191
124000,90225.2109,1.9442,23133.0801,-7285.4717,0.1217,2995.8936
146000,27801.1836,0.8624,8698.2168,-17490.123,0.5275,1.9417
125000,76819.5078,1.8883,19801.8242,-7532.5928,0.1124,3087.9203
147000,42795.3398,0.8156,12492.4902,-17946.9355,0.5002,1.94
126000,84520.4531,1.9575,21738.6602,-7668.1143,0.1123,3125.5807
